"time_series_id","registered_resource_eic_code","bm_unit_id","ngc_bm_unit_id","psr_type","market_generation_unit_eic_code","market_generation_bm_unit_id","market_generation_ngc_bm_unit_id","settlement_date","settlement_period","quantity"
"ELX-EMFIP-AGOG-TS-324","48W00000DRSLW-17","T_DRSLW-1","DRSLW-1","Generation","48W00000DRSLW-17","T_DRSLW-1","DRSLW-1","2022-01-01",1,"55.932"
"ELX-EMFIP-AGOG-TS-300","48W00000CGTHW-1W","T_CGTHW-1","CGTHW-1","Generation","48W00000CGTHW-1W","T_CGTHW-1","CGTHW-1","2022-01-01",1,"1.03"
"ELX-EMFIP-AGOG-TS-325","48W00000DUNGW-14","T_DUNGW-1","DUNGW-1","Generation","48W00000DUNGW-14","T_DUNGW-1","DUNGW-1","2022-01-01",1,"80.952"
"ELX-EMFIP-AGOG-TS-309","48W00000CRMLW-1E","T_CRMLW-1","CRMLW-1","Generation","48W00000CRMLW-1E","T_CRMLW-1","CRMLW-1","2022-01-01",1,"4.25"
"ELX-EMFIP-AGOG-TS-298","48W00000BRBEO-17","T_BRBEO-1","BRBEO-1","Generation","48W00000BRBEO-17","T_BRBEO-1","BRBEO-1","2022-01-01",1,"132.17"
"ELX-EMFIP-AGOG-TS-341","48W00000GLWSW-13","T_GLWSW-1","GLWSW-1","Generation","48W00000GLWSW-13","T_GLWSW-1","GLWSW-1","2022-01-01",1,"27.9"
"ELX-EMFIP-AGOG-TS-305","48W00000COUWW-16","T_COUWW-1","COUWW-1","Generation","48W00000COUWW-16","T_COUWW-1","COUWW-1","2022-01-01",1,"17.82"
"ELX-EMFIP-AGOG-TS-194","48W00000ASHWW-1Z","E_ASHWW-1","ASHWW-1","Generation","48W00000ASHWW-1Z","E_ASHWW-1","ASHWW-1","2022-01-01",1,"25.436"
"ELX-EMFIP-AGOG-TS-221","48W00000HBHDW-18","E_HBHDW-1","HBHDW-1","Generation","48W00000HBHDW-18","E_HBHDW-1","HBHDW-1","2022-01-01",1,"18.068"
"ELX-EMFIP-AGOG-TS-377","48W00000KLGLW-1S","T_KLGLW-1","KLGLW-1","Generation","48W00000KLGLW-1S","T_KLGLW-1","KLGLW-1","2022-01-01",1,"49.972"
"ELX-EMFIP-AGOG-TS-329","48W00000EWHLW-1U","T_EWHLW-1","EWHLW-1","Generation","48W00000EWHLW-1U","T_EWHLW-1","EWHLW-1","2022-01-01",1,"14.24"
"ELX-EMFIP-AGOG-TS-402","48W00000RCBKO-2Q","T_RCBKO-2","RCBKO-2","Generation","48W00000RCBKO-2Q","T_RCBKO-2","RCBKO-2","2022-01-01",1,"251.888"
"ELX-EMFIP-AGOG-TS-313","48W00000DDGNO-2C","T_DDGNO-2","DDGNO-2","Generation","48W00000DDGNO-2C","T_DDGNO-2","DDGNO-2","2022-01-01",1,"26.528"
"ELX-EMFIP-AGOG-TS-335","48W00000FSDLW-10","T_FSDLW-1","FSDLW-1","Generation","48W00000FSDLW-10","T_FSDLW-1","FSDLW-1","2022-01-01",1,"21.914"
"ELX-EMFIP-AGOG-TS-292","48W00000BEINW-1G","T_BEINW-1","BEINW-1","Generation","48W00000BEINW-1G","T_BEINW-1","BEINW-1","2022-01-01",1,"41.758"
"ELX-EMFIP-AGOG-TS-190","48W00000ABRTW-1Z","E_ABRTW-1","ABRTW-1","Generation","48W00000ABRTW-1Z","E_ABRTW-1","ABRTW-1","2022-01-01",1,"26.768"
"ELX-EMFIP-AGOG-TS-293","48W00000BHLAW-15","T_BHLAW-1","BHLAW-1","Generation","48W00000BHLAW-15","T_BHLAW-1","BHLAW-1","2022-01-01",1,"52.254"
"ELX-EMFIP-AGOG-TS-314","48W00000DDGNO-3A","T_DDGNO-3","DDGNO-3","Generation","48W00000DDGNO-3A","T_DDGNO-3","DDGNO-3","2022-01-01",1,"46.182"
"ELX-EMFIP-AGOG-TS-199","48W00000BNWKW-1W","E_BNWKW-1","BNWKW-1","Generation","48W00000BNWKW-1W","E_BNWKW-1","BNWKW-1","2022-01-01",1,"3.384"
"ELX-EMFIP-AGOG-TS-222","48W00000HLGLW-1F","E_HLGLW-1","HLGLW-1","Generation","48W00000HLGLW-1F","E_HLGLW-1","HLGLW-1","2022-01-01",1,"2.338"
"ELX-EMFIP-AGOG-TS-321","48W00000DRAXX-1E","T_DRAXX-1","DRAXX-1","Generation","48W00000DRAXX-1E","T_DRAXX-1","DRAXX-1","2022-01-01",1,"304.952"
"ELX-EMFIP-AGOG-TS-235","48W00000TULWW-1U","E_TULWW-1","TULWW-1","Generation","48W00000TULWW-1U","E_TULWW-1","TULWW-1","2022-01-01",1,"3.098"
"ELX-EMFIP-AGOG-TS-322","48W00000DRAXX-2C","T_DRAXX-2","DRAXX-2","Generation","48W00000DRAXX-2C","T_DRAXX-2","DRAXX-2","2022-01-01",1,"645.096"
"ELX-EMFIP-AGOG-TS-312","48W00000DDGNO-1E","T_DDGNO-1","DDGNO-1","Generation","48W00000DDGNO-1E","T_DDGNO-1","DDGNO-1","2022-01-01",1,"56.498"
"ELX-EMFIP-AGOG-TS-323","48W00000DRAXX-3A","T_DRAXX-3","DRAXX-3","Generation","48W00000DRAXX-3A","T_DRAXX-3","DRAXX-3","2022-01-01",1,"304.48"
"ELX-EMFIP-AGOG-TS-401","48W00000RCBKO-1S","T_RCBKO-1","RCBKO-1","Generation","48W00000RCBKO-1S","T_RCBKO-1","RCBKO-1","2022-01-01",1,"252.598"
"ELX-EMFIP-AGOG-TS-371","48W000000HRTL-24","T_HRTL-2","HRTL-2","Generation","48W000000HRTL-24","T_HRTL-2","HRTL-2","2022-01-01",1,"576.136"
"ELX-EMFIP-AGOG-TS-315","48W00000DDGNO-48","T_DDGNO-4","DDGNO-4","Generation","48W00000DDGNO-48","T_DDGNO-4","DDGNO-4","2022-01-01",1,"57.118"
"ELX-EMFIP-AGOG-TS-359","48W000000HEYM11C","T_HEYM11","HEYM11","Generation","48W000000HEYM11C","T_HEYM11","HEYM11","2022-01-01",1,"506.464"
"ELX-EMFIP-AGOG-TS-439","48W00000WLNYO-31","T_WLNYO-3","WLNYO-3","Generation","48W00000WLNYO-31","T_WLNYO-3","WLNYO-3","2022-01-01",1,"307.26"
"ELX-EMFIP-AGOG-TS-360","48W000000HEYM12A","T_HEYM12","HEYM12","Generation","48W000000HEYM12A","T_HEYM12","HEYM12","2022-01-01",1,"455.768"
"ELX-EMFIP-AGOG-TS-223","48W00000HYWDW-1G","E_HYWDW-1","HYWDW-1","Generation","48W00000HYWDW-1G","E_HYWDW-1","HYWDW-1","2022-01-01",1,"18.028"
"ELX-EMFIP-AGOG-TS-361","48W000000HEYM27Y","T_HEYM27","HEYM27","Generation","48W000000HEYM27Y","T_HEYM27","HEYM27","2022-01-01",1,"618.184"
"ELX-EMFIP-AGOG-TS-339","48W00000GAOFO-4Y","T_GANW-24","GAOFO-4","Generation","48W00000GAOFO-4Y","T_GANW-24","GAOFO-4","2022-01-01",1,"71.22"
"ELX-EMFIP-AGOG-TS-362","48W000000HEYM28W","T_HEYM28","HEYM28","Generation","48W000000HEYM28W","T_HEYM28","HEYM28","2022-01-01",1,"636.776"
"ELX-EMFIP-AGOG-TS-337","48W10000GAOFO-3N","T_GANW-13","GAOFO-3","Generation","48W10000GAOFO-3N","T_GANW-13","GAOFO-3","2022-01-01",1,"60.68"
"ELX-EMFIP-AGOG-TS-363","48W000000HINB-77","T_HINB-7","HINB-7","Generation","48W000000HINB-77","T_HINB-7","HINB-7","2022-01-01",1,"501.824"
"ELX-EMFIP-AGOG-TS-338","48W00000GAOFO-21","T_GANW-22","GAOFO-2","Generation","48W00000GAOFO-21","T_GANW-22","GAOFO-2","2022-01-01",1,"59.52"
"ELX-EMFIP-AGOG-TS-364","48W000000HINB-85","T_HINB-8","HINB-8","Generation","48W000000HINB-85","T_HINB-8","HINB-8","2022-01-01",1,"499.576"
"ELX-EMFIP-AGOG-TS-336","48W00000GAOFO-13","T_GANW-11","GAOFO-1","Generation","48W00000GAOFO-13","T_GANW-11","GAOFO-1","2022-01-01",1,"62.826"
"ELX-EMFIP-AGOG-TS-411","48W000000SIZB-1U","T_SIZB-1","SIZB-1","Generation","48W000000SIZB-1U","T_SIZB-1","SIZB-1","2022-01-01",1,"603.48"
"ELX-EMFIP-AGOG-TS-283","48W00000AKGLW-22","T_AKGLW-2","AKGLW-2","Generation","48W00000AKGLW-22","T_AKGLW-2","AKGLW-2","2022-01-01",1,"53.232"
"ELX-EMFIP-AGOG-TS-412","48W000000SIZB-2S","T_SIZB-2","SIZB-2","Generation","48W000000SIZB-2S","T_SIZB-2","SIZB-2","2022-01-01",1,"598.92"
"ELX-EMFIP-AGOG-TS-429","48W0000WBURB-43V","T_WBURB-43","WBURB-43","Generation","48W0000WBURB-43V","T_WBURB-43","WBURB-43","2022-01-01",1,"0.21"
"ELX-EMFIP-AGOG-TS-214","48W000000FAWN-1P","E_FAWN-1","FAWN-1","Generation","48W000000FAWN-1P","E_FAWN-1","FAWN-1","2022-01-01",1,"128.892"
"ELX-EMFIP-AGOG-TS-440","48W00000WLNYO-4-","T_WLNYO-4","WLNYO-4","Generation","48W00000WLNYO-4-","T_WLNYO-4","WLNYO-4","2022-01-01",1,"298.634"
"ELX-EMFIP-AGOG-TS-299","48W000000CDCL-1P","T_CDCL-1","CDCL-1","Generation","48W000000CDCL-1P","T_CDCL-1","CDCL-1","2022-01-01",1,"260.46"
"ELX-EMFIP-AGOG-TS-403","48W00000RMPNO-17","T_RMPNO-1","RMPNO-1","Generation","48W00000RMPNO-17","T_RMPNO-1","RMPNO-1","2022-01-01",1,"196.922"
"ELX-EMFIP-AGOG-TS-304","48W00000CNQPS-48","T_CNQPS-4","CNQPS-4","Generation","48W00000CNQPS-48","T_CNQPS-4","CNQPS-4","2022-01-01",1,"295.47"
"ELX-EMFIP-AGOG-TS-404","48W00000RMPNO-25","T_RMPNO-2","RMPNO-2","Generation","48W00000RMPNO-25","T_RMPNO-2","RMPNO-2","2022-01-01",1,"193.956"
"ELX-EMFIP-AGOG-TS-436","48W00000WILCT-1H","T_WILCT-1","WILCT-1","Generation","48W00000WILCT-1H","T_WILCT-1","WILCT-1","2022-01-01",1,"64.59"
"ELX-EMFIP-AGOG-TS-428","48W0000WBURB-41Z","T_WBURB-41","WBURB-41","Generation","48W0000WBURB-41Z","T_WBURB-41","WBURB-41","2022-01-01",1,"0.16"
"ELX-EMFIP-AGOG-TS-215","48W000000FELL-1R","E_FELL-1","FELL-1","Generation","48W000000FELL-1R","E_FELL-1","FELL-1","2022-01-01",1,"0.802"
"ELX-EMFIP-AGOG-TS-294","48W00000BLKWW-1L","T_BLKWW-1","BLKWW-1","Generation","48W00000BLKWW-1L","T_BLKWW-1","BLKWW-1","2022-01-01",1,"41.914"
"ELX-EMFIP-AGOG-TS-316","48W000000DIDCB6A","T_DIDCB6","DIDCB6","Generation","48W000000DIDCB6A","T_DIDCB6","DIDCB6","2022-01-01",1,"269.6"
"ELX-EMFIP-AGOG-TS-408","48W00000SANQW-1B","T_SANQW-1","SANQW-1","Generation","48W00000SANQW-1B","T_SANQW-1","SANQW-1","2022-01-01",1,"30.006"
"ELX-EMFIP-AGOG-TS-375","48W000000KEAD-15","T_KEAD-1","KEAD-1","Generation","48W000000KEAD-15","T_KEAD-1","KEAD-1","2022-01-01",1,"347.57"
"ELX-EMFIP-AGOG-TS-416","48W00000STLGW-1E","T_STLGW-1","STLGW-1","Generation","48W00000STLGW-1E","T_STLGW-1","STLGW-1","2022-01-01",1,"60.546"
"ELX-EMFIP-AGOG-TS-405","48W000000ROCK-16","T_ROCK-1","ROCK-1","Generation","48W000000ROCK-16","T_ROCK-1","ROCK-1","2022-01-01",1,"110.2"
"ELX-EMFIP-AGOG-TS-417","48W00000STLGW-2C","T_STLGW-2","STLGW-2","Generation","48W00000STLGW-2C","T_STLGW-2","STLGW-2","2022-01-01",1,"70.162"
"ELX-EMFIP-AGOG-TS-372","48W100000HUMR-1N","T_HUMR-1","HUMR-1","Generation","48W100000HUMR-1N","T_HUMR-1","HUMR-1","2022-01-01",1,"86.392"
"ELX-EMFIP-AGOG-TS-418","48W00000STLGW-3A","T_STLGW-3","STLGW-3","Generation","48W00000STLGW-3A","T_STLGW-3","STLGW-3","2022-01-01",1,"65.304"
"ELX-EMFIP-AGOG-TS-274","48W000CAS-BEU01F","M_CAS-BEU01","CAS-BEU01","Generation","48W000CAS-BEU01F","M_CAS-BEU01","CAS-BEU01","2022-01-01",1,"25.3"
"ELX-EMFIP-AGOG-TS-280","48W00000ABRBO-19","T_ABRBO-1","ABRBO-1","Generation","48W00000ABRBO-19","T_ABRBO-1","ABRBO-1","2022-01-01",1,"79.82"
"ELX-EMFIP-AGOG-TS-277","48W000CAS-KIL01E","M_CAS-KIL01","CAS-KIL01","Generation","48W000CAS-KIL01E","M_CAS-KIL01","CAS-KIL01","2022-01-01",1,"22.5"
"ELX-EMFIP-AGOG-TS-433","48W00000WHIHW-15","T_WHIHW-1","WHIHW-1","Generation","48W00000WHIHW-15","T_WHIHW-1","WHIHW-1","2022-01-01",1,"18.134"
"ELX-EMFIP-AGOG-TS-373","48W000000HUNB-87","T_HUNB-8","HUNB-8","Generation","48W000000HUNB-87","T_HUNB-8","HUNB-8","2022-01-01",1,"502.464"
"ELX-EMFIP-AGOG-TS-389","48W00000MIDMW-19","T_MIDMW-1","MIDMW-1","Generation","48W00000MIDMW-19","T_MIDMW-1","MIDMW-1","2022-01-01",1,"7.58"
"ELX-EMFIP-AGOG-TS-424","48W000000TORN-1G","T_TORN-1","TORN-1","Generation","48W000000TORN-1G","T_TORN-1","TORN-1","2022-01-01",1,"622.592"
"ELX-EMFIP-AGOG-TS-288","48W00000BEATO-1T","T_BEATO-1","BEATO-1","Generation","48W00000BEATO-1T","T_BEATO-1","BEATO-1","2022-01-01",1,"46.324"
"ELX-EMFIP-AGOG-TS-275","48W000CAS-CLU01B","M_CAS-CLU01","CAS-CLU01","Generation","48W000CAS-CLU01B","M_CAS-CLU01","CAS-CLU01","2022-01-01",1,"24.932"
"ELX-EMFIP-AGOG-TS-290","48W00000BEATO-3P","T_BEATO-3","BEATO-3","Generation","48W00000BEATO-3P","T_BEATO-3","BEATO-3","2022-01-01",1,"71.27"
"ELX-EMFIP-AGOG-TS-276","48W000CAS-CON01O","M_CAS-CON01","CAS-CON01","Generation","48W000CAS-CON01O","M_CAS-CON01","CAS-CON01","2022-01-01",1,"42.128"
"ELX-EMFIP-AGOG-TS-289","48W00000BEATO-2R","T_BEATO-2","BEATO-2","Generation","48W00000BEATO-2R","T_BEATO-2","BEATO-2","2022-01-01",1,"36.186"
"ELX-EMFIP-AGOG-TS-278","48W000CAS-MOR01M","M_CAS-MOR01","CAS-MOR01","Generation","48W000CAS-MOR01M","M_CAS-MOR01","CAS-MOR01","2022-01-01",1,"2.884"
"ELX-EMFIP-AGOG-TS-291","48W00000BEATO-4N","T_BEATO-4","BEATO-4","Generation","48W00000BEATO-4N","T_BEATO-4","BEATO-4","2022-01-01",1,"61.916"
"ELX-EMFIP-AGOG-TS-295","48W000000BLLA-1K","T_BLLA-1","BLLA-1","Generation","48W000000BLLA-1K","T_BLLA-1","BLLA-1","2022-01-01",1,"26.944"
"ELX-EMFIP-AGOG-TS-368","48W00000HOWAO-2K","T_HOWAO-2","HOWAO-2","Generation","48W00000HOWAO-2K","T_HOWAO-2","HOWAO-2","2022-01-01",1,"377.7"
"ELX-EMFIP-AGOG-TS-333","48W000000FASN-18","T_FASN-1","FASN-1","Generation","48W000000FASN-18","T_FASN-1","FASN-1","2022-01-01",1,"7.162"
"ELX-EMFIP-AGOG-TS-369","48W00000HOWAO-3I","T_HOWAO-3","HOWAO-3","Generation","48W00000HOWAO-3I","T_HOWAO-3","HOWAO-3","2022-01-01",1,"376.656"
"ELX-EMFIP-AGOG-TS-352","48W100000GRMO-1N","T_GRMO-1","GRMO-1","Generation","48W100000GRMO-1N","T_GRMO-1","GRMO-1","2022-01-01",1,"116.18"
"ELX-EMFIP-AGOG-TS-367","48W00000HOWAO-1M","T_HOWAO-1","HOWAO-1","Generation","48W00000HOWAO-1M","T_HOWAO-1","HOWAO-1","2022-01-01",1,"363.096"
"ELX-EMFIP-AGOG-TS-425","48W000000TORN-2E","T_TORN-2","TORN-2","Generation","48W000000TORN-2E","T_TORN-2","TORN-2","2022-01-01",1,"658.784"
"ELX-EMFIP-AGOG-TS-174","48W00000LCSMH-1T","2__PMARB001","LCSMH-1","Generation","48W00000LCSMH-1T","2__PMARB001","LCSMH-1","2022-01-01",1,"6.024"
